118.93.50.150	118-93-50-150.dsl.dyn.ihug.co.nz
219.75.57.151	bb219-75-57-151.singnet.com.sg
213.27.145.10	www.maec.es
67.227.236.64	bpsharma.in
111.69.25.66	66.25.69.111.static.snap.net.nz
75.126.248.195	75.126.248.195-static.reverse.softlayer.com
118.92.191.85	118-92-191-85.dsl.dyn.ihug.co.nz
125.239.116.10	125-239-116-10.jetstream.xtra.co.nz
142.3.152.34	uregina.ca
131.234.25.27	www2.cs.uni-paderborn.de
110.169.97.207	ppp-110-169-97-207.revip5.asianet.co.th
176.34.244.94	livefyre-prod-lb-1748471020.eu-west-1.elb.amazonaws.com
74.125.216.86	o-o.preferred.bru02t13.v7.cache3.c.youtube.com
118.148.226.48	48-226-148-118.nzcomms.co.nz
86.20.165.186	cpc20-cove12-2-0-cust441.3-1.cable.virginmedia.com
118.149.202.96	96-202-149-118.nzcomms.co.nz
208.65.154.99	tc.v20.cache6.c.youtube.com
123.125.71.15	baiduspider-123-125-71-15.crawl.baidu.com
50.116.97.180	factsofworld.com
186.210.10.143	186-210-010-143.xd-dynamic.ctbcnetsuper.com.br
174.129.4.33	c.cache.infogears.com
62.244.25.75	titan-carp.redtram.com
212.227.18.67	infong-es56.schlund.de
125.237.64.236	125-237-64-236.jetstream.xtra.co.nz
85.110.93.56	85.110.93.56.dynamic.ttnet.com.tr
89.167.143.48	scstats.cyclingnews.com
118.149.118.230	230-118-149-118.nzcomms.co.nz
219.89.43.209	219-89-43-209.dialup.xtra.co.nz
107.22.248.188	freestuffmyway.com
118.148.122.41	41-122-148-118.nzcomms.co.nz
207.211.91.31	store01.prostores.com
58.62.14.69	69.14.62.58.broad.gz.gd.dynamic.163data.com.cn
118.215.92.137	e3060.a.akamaiedge.net
23.21.105.208	cinefis-lb-1648282430.us-east-1.elb.amazonaws.com
72.30.132.162	b5132068.yst.yahoo.net
67.187.86.175	c-67-187-86-175.hsd1.tn.comcast.net
74.200.244.59	alternativephd.com
27.130.189.134	mx-ll-27.130.189-134.dynamic.3bb.co.th
202.36.204.6	office.actrix.co.nz
71.232.177.164	c-71-232-177-164.hsd1.ma.comcast.net
129.118.157.124	lumina--2.tosm.ttu.edu
66.66.78.18	cpe-66-66-78-18.rochester.res.rr.com
202.146.210.112	bicyclehistory.com.au
